"id" ;"class" ;"class2"
10171 ;top_5 ;outstanding
9386 ;top_5 ;outstanding
13299 ;top_5 ;outstanding
8774 ;top_5 ;outstanding
9014 ;top_5 ;outstanding
7898 ;top_5 ;outstanding
10214 ;top_5 ;outstanding
8135 ;top_5 ;outstanding
9006 ;top_5 ;outstanding
16394 ;top_5 ;outstanding
7565 ;top_5 ;outstanding
7885 ;top_5 ;outstanding
6765 ;top_5 ;outstanding
17339 ;top_5 ;outstanding
11103 ;top_5 ;outstanding
6802 ;top_5 ;outstanding
9381 ;top_5 ;outstanding
7102 ;top_5 ;outstanding
7819 ;top_5 ;outstanding
13693 ;top_5 ;outstanding
6704 ;top_5 ;outstanding
8946 ;top_5 ;outstanding
19500 ;top_5 ;outstanding
11200 ;top_5 ;outstanding
12115 ;top_5 ;outstanding
23106 ;top_5 ;outstanding
6808 ;top_5 ;outstanding
16076 ;top_5 ;outstanding
7435 ;top_5 ;outstanding
14034 ;top_5 ;outstanding
21073 ;top_5 ;outstanding
6762 ;top_5 ;outstanding
6725 ;top_5 ;outstanding
6776 ;top_5 ;outstanding
10660 ;top_5 ;outstanding
7064 ;top_5 ;outstanding
9261 ;top_5 ;outstanding
7374 ;top_5 ;outstanding
8270 ;top_5 ;outstanding
10663 ;top_5 ;outstanding
8423 ;top_5 ;outstanding
16227 ;top_5 ;outstanding
8998 ;top_5 ;outstanding
15449 ;top_5 ;outstanding
9878 ;top_5 ;outstanding
6858 ;top_5 ;outstanding
11840 ;top_5 ;outstanding
6989 ;top_5 ;outstanding
9274 ;top_5 ;outstanding
6740 ;top_5 ;outstanding
6805 ;top_5 ;outstanding
6918 ;top_5 ;outstanding
6753 ;top_5 ;outstanding
7193 ;top_5 ;outstanding
9387 ;top_5 ;outstanding
17472 ;top_5 ;outstanding
9065 ;top_5 ;outstanding
7726 ;top_5 ;outstanding
7111 ;top_5 ;outstanding
9123 ;top_5 ;outstanding
10659 ;top_5 ;outstanding
7416 ;top_5 ;outstanding
14879 ;top_5 ;outstanding
7232 ;top_5 ;outstanding
12743 ;top_5 ;outstanding
14717 ;top_5 ;outstanding
6781 ;top_5 ;outstanding
7737 ;top_5 ;outstanding
10904 ;top_5 ;outstanding
9752 ;top_5 ;outstanding
6763 ;top_5 ;outstanding
13208 ;top_5 ;outstanding
7198 ;top_5 ;outstanding
11273 ;top_5 ;outstanding
20136 ;top_5 ;outstanding
6768 ;top_5 ;outstanding
14785 ;top_5 ;outstanding
10175 ;top_5 ;outstanding
7123 ;top_5 ;outstanding
18566 ;top_5 ;outstanding
14001 ;top_5 ;outstanding
8533 ;top_5 ;outstanding
6926 ;top_5 ;outstanding
17664 ;top_5 ;outstanding
10070 ;top_5 ;outstanding
16967 ;top_5 ;outstanding
17154 ;top_5 ;outstanding
19912 ;top_5 ;outstanding
14576 ;top_5 ;outstanding
23877 ;top_5 ;outstanding
6906 ;top_5 ;outstanding
14640 ;top_5 ;outstanding
11770 ;top_5 ;outstanding
15731 ;top_5 ;outstanding
14057 ;top_5 ;outstanding
6869 ;top_5 ;outstanding
17758 ;top_5 ;outstanding
6925 ;top_5 ;outstanding
12380 ;top_5 ;outstanding
6710 ;top_5 ;outstanding
6893 ;top_5 ;outstanding
7943 ;top_5 ;outstanding
24610 ;top_5 ;outstanding
13654 ;top_5 ;outstanding
20587 ;top_5 ;outstanding
7158 ;top_5 ;outstanding
9942 ;top_5 ;outstanding
7617 ;top_5 ;outstanding
6764 ;top_5 ;outstanding
6745 ;top_5 ;outstanding
18336 ;top_5 ;outstanding
15940 ;top_5 ;outstanding
17620 ;top_5 ;outstanding
8006 ;top_5 ;outstanding
21704 ;top_5 ;outstanding
8124 ;top_5 ;outstanding
6722 ;top_5 ;outstanding
26149 ;top_5 ;outstanding
9162 ;top_5 ;outstanding
14070 ;top_5 ;outstanding
6758 ;top_5 ;outstanding
6779 ;top_5 ;outstanding
6829 ;top_5 ;outstanding
6877 ;top_5 ;outstanding
20088 ;top_5 ;outstanding
7112 ;top_5 ;outstanding
6963 ;top_5 ;outstanding
7019 ;top_5 ;outstanding
19484 ;top_5 ;outstanding
9949 ;top_5 ;outstanding
14197 ;top_5 ;outstanding
13835 ;top_5 ;outstanding
9437 ;top_5 ;outstanding
8046 ;top_5 ;outstanding
8478 ;top_5 ;outstanding
14604 ;top_5 ;outstanding
12594 ;top_5 ;outstanding
7609 ;top_5 ;outstanding
13575 ;top_5 ;outstanding
6755 ;top_5 ;outstanding
14529 ;top_5 ;outstanding
6850 ;top_5 ;outstanding
6962 ;top_5 ;outstanding
12212 ;top_5 ;outstanding
12352 ;top_5 ;outstanding
6876 ;top_5 ;outstanding
7439 ;top_5 ;outstanding
17640 ;top_5 ;outstanding
22731 ;top_5 ;outstanding
7301 ;top_5 ;outstanding
13855 ;top_5 ;outstanding
12479 ;top_5 ;outstanding
8313 ;top_5 ;outstanding
6844 ;top_5 ;outstanding
7168 ;top_5 ;outstanding
7993 ;top_5 ;outstanding
12691 ;top_5 ;outstanding
9412 ;top_5 ;outstanding
10969 ;top_5 ;outstanding
16049 ;top_5 ;outstanding
6822 ;top_5 ;outstanding
17590 ;top_5 ;outstanding
6892 ;top_5 ;outstanding
25444 ;top_5 ;outstanding
8001 ;top_5 ;outstanding
11693 ;top_5 ;outstanding
8527 ;top_5 ;outstanding
9445 ;top_5 ;outstanding
8771 ;top_5 ;outstanding
8407 ;top_5 ;outstanding
6798 ;top_5 ;outstanding
17189 ;top_5 ;outstanding
12377 ;top_5 ;outstanding
15029 ;top_5 ;outstanding
8033 ;top_5 ;outstanding
9013 ;top_5 ;outstanding
12357 ;top_5 ;outstanding
7082 ;top_5 ;outstanding
8867 ;top_5 ;outstanding
19158 ;top_5 ;outstanding
15596 ;top_5 ;outstanding
7701 ;top_5 ;outstanding
23667 ;top_5 ;outstanding
6782 ;top_5 ;outstanding
11429 ;top_5 ;outstanding
10610 ;top_5 ;outstanding
