"id"; "class2";"degree"
872;ordinary;1
1191;ordinary;1
1539;ordinary;1
1685;ordinary;1
2058;ordinary;1
2162;ordinary;1
2252;ordinary;1
2322;ordinary;1
2386;ordinary;1
2438;ordinary;1
2493;ordinary;1
2505;ordinary;1
2539;ordinary;1
2753;ordinary;1
2825;ordinary;1
2844;ordinary;1
2869;ordinary;1
2930;ordinary;1
2973;ordinary;1
3008;ordinary;1
3076;ordinary;1
3207;ordinary;1
3254;ordinary;1
3277;ordinary;1
3278;ordinary;1
3554;ordinary;1
3561;ordinary;1
3685;ordinary;1
3735;ordinary;1
3751;ordinary;1
3752;ordinary;1
3759;ordinary;1
3802;ordinary;1
3805;ordinary;1
3818;ordinary;1
3819;ordinary;1
3833;ordinary;1
3838;ordinary;1
3863;ordinary;1
3884;ordinary;1
3898;ordinary;1
3936;ordinary;1
3938;ordinary;1
3951;ordinary;1
3989;ordinary;1
4004;ordinary;1
4005;ordinary;1
4021;ordinary;1
4024;ordinary;1
4026;ordinary;1
4046;ordinary;1
4049;ordinary;1
4061;ordinary;1
4082;ordinary;1
4098;ordinary;1
4124;ordinary;1
4130;ordinary;1
4144;ordinary;1
4147;ordinary;1
4153;ordinary;1
4165;ordinary;1
4186;ordinary;1
4197;ordinary;1
4206;ordinary;1
4216;ordinary;1
4230;ordinary;1
4241;ordinary;1
4267;ordinary;1
4292;ordinary;1
4299;ordinary;1
4307;ordinary;1
4331;ordinary;1
4337;ordinary;1
4354;ordinary;1
4370;ordinary;1
4372;ordinary;1
4385;ordinary;1
4387;ordinary;1
4402;ordinary;1
4407;ordinary;1
4409;ordinary;1
4423;ordinary;1
4456;ordinary;1
4470;ordinary;1
4495;ordinary;1
4496;ordinary;1
4497;ordinary;1
4527;ordinary;1
4557;ordinary;1
4564;ordinary;1
4566;ordinary;1
4579;ordinary;1
4590;ordinary;1
4603;ordinary;1
4611;ordinary;1
4626;ordinary;1
4631;ordinary;1
4632;ordinary;1
4644;ordinary;1
