"id" ;"class" ;"class2"
7898 ;top_5 ;outstanding
6802 ;top_5 ;outstanding
21073 ;top_5 ;outstanding
6740 ;top_5 ;outstanding
6805 ;top_5 ;outstanding
9387 ;top_5 ;outstanding
17472 ;top_5 ;outstanding
7726 ;top_5 ;outstanding
7416 ;top_5 ;outstanding
6781 ;top_5 ;outstanding
8533 ;top_5 ;outstanding
17154 ;top_5 ;outstanding
19912 ;top_5 ;outstanding
14576 ;top_5 ;outstanding
11770 ;top_5 ;outstanding
6710 ;top_5 ;outstanding
20587 ;top_5 ;outstanding
7158 ;top_5 ;outstanding
9942 ;top_5 ;outstanding
6764 ;top_5 ;outstanding
7112 ;top_5 ;outstanding
6963 ;top_5 ;outstanding
7019 ;top_5 ;outstanding
14529 ;top_5 ;outstanding
7301 ;top_5 ;outstanding
6844 ;top_5 ;outstanding
6822 ;top_5 ;outstanding
17590 ;top_5 ;outstanding
8001 ;top_5 ;outstanding
11693 ;top_5 ;outstanding
9445 ;top_5 ;outstanding
6798 ;top_5 ;outstanding
11448 ;top_5 ;outstanding
7305 ;top_5 ;outstanding
8141 ;top_5 ;outstanding
12528 ;top_5 ;outstanding
6728 ;top_5 ;outstanding
10672 ;top_5 ;outstanding
7475 ;top_5 ;outstanding
9504 ;top_5 ;outstanding
11328 ;top_5 ;outstanding
6794 ;top_5 ;outstanding
11709 ;top_5 ;outstanding
13379 ;top_5 ;outstanding
7200 ;top_5 ;outstanding
10353 ;top_5 ;outstanding
6733 ;top_5 ;outstanding
13270 ;top_5 ;outstanding
7184 ;top_5 ;outstanding
7942 ;top_5 ;outstanding
11868 ;top_5 ;outstanding
18643 ;top_5 ;outstanding
9449 ;top_5 ;outstanding
10737 ;top_5 ;outstanding
13991 ;top_5 ;outstanding
14805 ;top_5 ;outstanding
7902 ;top_5 ;outstanding
17414 ;top_5 ;outstanding
23950 ;top_5 ;outstanding
19724 ;top_5 ;outstanding
9327 ;top_5 ;outstanding
7318 ;top_5 ;outstanding
9194 ;top_5 ;outstanding
6723 ;top_5_10 ;outstanding
10999 ;top_5_10 ;outstanding
