"id" ;"class" ;"class2"
32082 ;top_5 ;outstanding
37163 ;top_5 ;outstanding
36260 ;top_5 ;outstanding
34625 ;top_5 ;outstanding
33352 ;top_5 ;outstanding
28810 ;top_5 ;outstanding
39440 ;top_5 ;outstanding
31592 ;top_5 ;outstanding
29553 ;top_5 ;outstanding
46240 ;top_5 ;outstanding
30181 ;top_5 ;outstanding
29219 ;top_5 ;outstanding
29995 ;top_5 ;outstanding
28920 ;top_5 ;outstanding
30432 ;top_5 ;outstanding
30193 ;top_5 ;outstanding
28820 ;top_5 ;outstanding
32562 ;top_5 ;outstanding
38085 ;top_5 ;outstanding
33696 ;top_5 ;outstanding
28866 ;top_5 ;outstanding
28861 ;top_5 ;outstanding
33690 ;top_5 ;outstanding
35529 ;top_5 ;outstanding
49335 ;top_5 ;outstanding
40369 ;top_5 ;outstanding
30706 ;top_5 ;outstanding
39024 ;top_5 ;outstanding
33872 ;top_5 ;outstanding
36381 ;top_5 ;outstanding
45522 ;top_5 ;outstanding
30146 ;top_5 ;outstanding
43239 ;top_5 ;outstanding
33470 ;top_5 ;outstanding
36106 ;top_5 ;outstanding
33299 ;top_5 ;outstanding
38069 ;top_5 ;outstanding
36996 ;top_5 ;outstanding
46937 ;top_5 ;outstanding
33896 ;top_5 ;outstanding
34474 ;top_5 ;outstanding
37856 ;top_5 ;outstanding
44950 ;top_5 ;outstanding
31273 ;top_5 ;outstanding
49122 ;top_5 ;outstanding
30438 ;top_5 ;outstanding
28932 ;top_5 ;outstanding
38184 ;top_5 ;outstanding
29679 ;top_5 ;outstanding
40584 ;top_5 ;outstanding
45232 ;top_5 ;outstanding
34132 ;top_5 ;outstanding
28884 ;top_5 ;outstanding
42374 ;top_5 ;outstanding
30798 ;top_5 ;outstanding
39052 ;top_5 ;outstanding
29101 ;top_5 ;outstanding
49369 ;top_5 ;outstanding
40282 ;top_5 ;outstanding
39297 ;top_5 ;outstanding
49409 ;top_5 ;outstanding
33790 ;top_5 ;outstanding
33996 ;top_5 ;outstanding
35161 ;top_5 ;outstanding
33001 ;top_5 ;outstanding
